id_mgn,latitude,longitude,site_id,snow_depth
157,80.04869,-86.690185,1,0.314
158,80.04869666,-86.6901733,1,0.317
159,80.04870333,-86.6901567,1,0.258
160,80.04871833,-86.69015,1,0.238
161,80.04873333,-86.69015,1,0.274
162,80.04874,-86.6901466,1,0.302
163,80.04875833,-86.69018,1,0.258
164,80.04877333,-86.6902017,1,0.119
165,80.04877667,-86.6901967,1,0.122
166,80.04878833,-86.6902133,1,0.128
167,80.0488,-86.6902383,1,0.146
168,80.04880833,-86.6902333,1,0.192
169,80.04882167,-86.690265,1,0.278
170,80.04883,-86.690265,1,0.279
171,80.04884,-86.69028,1,0.162
172,80.04885333,-86.6903233,1,0.104
173,80.04886834,-86.690335,1,0.056
174,80.04888,-86.690315,1,0.057
175,80.04889167,-86.6902916,1,0.053
176,80.0489,-86.690265,1,0.044
177,80.04891,-86.6902817,1,0.038
178,80.04892833,-86.6902633,1,0.035
179,80.04894167,-86.690265,1,0.036
180,80.04894833,-86.6902633,1,0.028
181,80.048965,-86.69026,1,0.047
182,80.04896833,-86.6902633,1,0.061
183,80.04899,-86.690245,1,0.091
184,80.04899667,-86.6902567,1,0.092
185,80.049015,-86.6902183,1,0.103
186,80.04902333,-86.690235,1,0.066
187,80.04903834,-86.6902083,1,0.066
188,80.049055,-86.6901967,1,0.067
189,80.04906,-86.6901916,1,0.097
190,80.04907667,-86.6902017,1,0.12
191,80.049085,-86.6902133,1,0.079
192,80.04910167,-86.690225,1,0.062
193,80.04911,-86.6902383,1,0.053
194,80.04912,-86.6901,1,0.141
195,80.049125,-86.690125,1,0.11
196,80.04914333,-86.6901733,1,0.111
197,80.04915333,-86.6901833,1,0.177
198,80.04916167,-86.6902066,1,0.117
199,80.04917667,-86.6902233,1,0.142
200,80.04918833,-86.6902217,1,0.108
201,80.049205,-86.69022,1,0.112
202,80.049215,-86.690245,1,0.088
203,80.049225,-86.690255,1,0.052
204,80.04923333,-86.6902683,1,0.064
205,80.04925,-86.690275,1,0.069
206,80.04926334,-86.6902967,1,0.067
207,80.04927167,-86.6902933,1,0.05
208,80.04928166,-86.6903034,1,0.061
209,80.049295,-86.6903166,1,0.037
210,80.049305,-86.6902967,1,0.064
211,80.04931,-86.6903099,1,0.038
212,80.04932667,-86.6902983,1,0.037
213,80.04933833,-86.690315,1,0.037
214,80.049355,-86.6903217,1,0.047
215,80.049365,-86.690335,1,0.028
967,80.05731333,-86.6966,1,0.045
216,80.04937833,-86.6903766,1,0.066
217,80.04938333,-86.6903734,1,0.04
218,80.04940333,-86.6903766,1,0.056
219,80.04941833,-86.690355,1,0.192
220,80.04943,-86.6903667,1,0.179
221,80.04944333,-86.6903633,1,0.211
222,80.04946167,-86.690375,1,0.202
223,80.04947333,-86.6903483,1,0.116
224,80.04948833,-86.6903433,1,0.08
225,80.04950833,-86.6903284,1,0.05
226,80.04951167,-86.6903067,1,0.128
227,80.04953,-86.690325,1,0.105
228,80.049535,-86.690325,1,0.161
229,80.049555,-86.6903533,1,0.134
230,80.04956834,-86.690345,1,0.122
231,80.04958,-86.6903433,1,0.136
232,80.04959,-86.69035,1,0.178
233,80.0496,-86.6903667,1,0.194
234,80.04960833,-86.6903583,1,0.221
235,80.04961833,-86.6903633,1,0.25
236,80.04962833,-86.69036,1,0.239
237,80.04964,-86.6903867,1,0.272
238,80.04965167,-86.6903867,1,0.226
239,80.049655,-86.690415,1,0.186
240,80.04967333,-86.690415,1,0.226
241,80.04968,-86.6904233,1,0.215
242,80.04968834,-86.6904067,1,0.226
243,80.04970333,-86.6904284,1,0.184
244,80.04971333,-86.6904284,1,0.187
245,80.04972333,-86.6904467,1,0.149
246,80.04974334,-86.6904534,1,0.116
247,80.04974834,-86.690465,1,0.123
248,80.04976667,-86.6904566,1,0.053
249,80.04977333,-86.690465,1,0.05
250,80.04979167,-86.6904483,1,0.065
251,80.04979833,-86.6904584,1,0.105
252,80.04981667,-86.6904383,1,0.161
253,80.049825,-86.6904534,1,0.124
254,80.049835,-86.69045,1,0.086
255,80.04984833,-86.6904166,1,0.072
256,80.04987,-86.690405,1,0.035
257,80.04988333,-86.6904,1,0.058
258,80.04989666,-86.69039,1,0.09
259,80.04990667,-86.6904217,1,0.116
260,80.04991833,-86.690415,1,0.076
261,80.04992833,-86.6904266,1,0.079
262,80.04994667,-86.6904351,1,0.109
263,80.04994667,-86.6904417,1,0.149
264,80.04996667,-86.6904233,1,0.148
265,80.04997667,-86.6904483,1,0.142
266,80.04997833,-86.690505,1,0.122
267,80.04997833,-86.6905984,1,0.13
268,80.04997667,-86.6907,1,0.117
269,80.04997333,-86.6907234,1,0.148
270,80.04997167,-86.6907784,1,0.16
271,80.04997167,-86.6908317,1,0.123
272,80.04997,-86.6908849,1,0.13
273,80.04996667,-86.6909717,1,0.153
274,80.049965,-86.6910334,1,0.098
275,80.049965,-86.6910933,1,0.089
276,80.049965,-86.6911716,1,0.07
277,80.04996834,-86.6912383,1,0.042
278,80.04997167,-86.691295,1,0.05
279,80.049975,-86.6913633,1,0.057
280,80.04997333,-86.69143,1,0.059
281,80.04997833,-86.6914867,1,0.089
282,80.04998,-86.6915683,1,0.103
283,80.04998667,-86.6916434,1,0.128
284,80.04999,-86.6916767,1,0.249
285,80.05,-86.6917983,1,0.168
286,80.05000333,-86.6918483,1,0.092
287,80.050005,-86.6919083,1,0.06
288,80.05001,-86.691955,1,0.075
289,80.050015,-86.6920016,1,0.078
290,80.050025,-86.6921033,1,0.069
291,80.05002833,-86.6921234,1,0.084
292,80.05003667,-86.69218,1,0.091
293,80.05004,-86.6922234,1,0.081
294,80.050045,-86.6923,1,0.126
295,80.05005167,-86.6923417,1,0.164
296,80.05006,-86.6924,1,0.125
297,80.05006333,-86.6924683,1,0.145
298,80.05007333,-86.6925217,1,0.108
299,80.05008334,-86.6925817,1,0.139
300,80.050085,-86.69263,1,0.223
